date,artist,song_name,video,group_type,release,link,like_count,view_count
2021-04-23,B1A4,10 Times,Youtube,Boy,Special,https://www.youtube.com/watch?v=A_x9dB-kUcM,31358,399952
2021-04-23,Yesung,Phantom Pain,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=6cJN-4n5CpI,97613,1416156
2021-04-22,IZ,Missing U,Youtube,Boy,Major,https://www.youtube.com/watch?v=g7mIRjYwgCA,2311,18383
2021-04-21,Wheein,Springtime,Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=vgQSKH365Xs,28445,257411
2021-04-21,Wheein,Butterfly (Feat. GSoul),Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=jHTXC_FdVis,52936,782023
2021-04-21,Wheein,OHOO,Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=Uns545_GEzk,34656,280248
2021-04-20,Twice,Kura Kura,Youtube,Girl,Japanese,https://www.youtube.com/watch?v=BSS8Y-0hOlY,1430748,54368816
2021-04-20,Wheein,TRASH feat. pH-1,Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=oCSadXDV2Yg,49637,464464
2021-04-20,P1Harmony,Scared,Youtube,Boy,Major,https://www.youtube.com/watch?v=US8zsyQm3kc,216857,6956479
2021-04-20,Wheein,No Thanks,Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=4dJSqNvK3Vo,35482,367117
2021-04-19,Great Guys,Touch by Touch,Youtube,Boy,Major,https://www.youtube.com/watch?v=4uIrMyz9AUs,7935,53480
2021-04-19,ORβIT,Blind,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=EjvMGiEdHCQ,25100,1202464
2021-04-19,Apink,Thank You,Youtube,Girl,Special,https://www.youtube.com/watch?v=xeGKqShAalw,98859,2074346
2021-04-19,DAY6,You Make Me,Youtube,Boy,Major,https://www.youtube.com/watch?v=HwcCBnfhsR4,634593,11671690
2021-04-19,NU'EST,Inside Out,Youtube,Boy,Major,https://www.youtube.com/watch?v=AIyarEsQvAg,366107,13435438
2021-04-18,IZ*ONE,Parallel Universe,Youtube,Girl,Special,https://www.youtube.com/watch?v=0nPlIi685DU,133214,2033776
2021-04-18,Seventeen,Not Alone,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=0n8su37VyZQ,595508,14220087
2021-04-17,ORβIT,Dionaea,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=3x1CK91jwzY,19385,841324
2021-04-16,A.C.E,Down (feat. Grey),Youtube,Boy,English,https://www.youtube.com/watch?v=pa6h6XtG1Fo,104384,1575794
2021-04-16,MAJORS,Rain On Me,Youtube,Girl,Major,https://www.youtube.com/watch?v=4kz0mVMhPA4,17956,234695
2021-04-16,MAJORS,Dancing in the Starlit Night,Youtube,Girl,Major,https://www.youtube.com/watch?v=zIRhBjmgNxs,32268,792307
2021-04-15,Yoon Jisung,Love Song,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=So_sFpCMeAs,19154,3239773
2021-04-13,Wheein,Water Color,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=ShFKF2YN7H0,577876,12266539
2021-04-13,CIX,All For You,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=tDYXW4tllIc,81512,1884431
2021-04-13,Kang Daniel,Antidote,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=sfdJRW5NGyA,334641,42263935
2021-04-12,Davichi,Just Hug Me,Youtube,Girl,Major,https://www.youtube.com/watch?v=ORYgMXQ8Kqg,12333,583112
2021-04-12,ELRIS,Miss You,Youtube,Girl,Special,https://www.youtube.com/watch?v=pq7_lRldwMs,323,3704
2021-04-12,SHINee,Atlantis,Youtube,Boy,Major,https://www.youtube.com/watch?v=PSYRbJjIT6U,753210,24667265
2021-04-10,Gowoon,Weird,Youtube,Girl Solo,Minor,https://www.youtube.com/watch?v=HR1epuKWyUE,493,5182
2021-04-09,Henry,Trust your pace,Youtube,Boy Solo,Minor,https://www.youtube.com/watch?v=kBFC-SKRwKg,6933,81968
2021-04-09,SuperM,We DO,Youtube,Boy,CF,https://www.youtube.com/watch?v=45eaXV6CJOk,1165053,14588428
2021-04-09,Dreamcatcher,Eclipse,Youtube,Girl,Japanese,https://www.youtube.com/watch?v=b9UxVkTfkVg,98525,1538787
2021-04-08,OnlyOneOf,libidO,Youtube,Boy,Major,https://www.youtube.com/watch?v=lMW1PICg-Ss,301727,4921990
2021-04-08,BAE173,Loved You,Youtube,Boy,Major,https://www.youtube.com/watch?v=H8uK-1gfkcE,50820,1985531
2021-04-08,STAYC,ASAP,Youtube,Girl,Major,https://www.youtube.com/watch?v=NsY-9MCOIAQ,934679,58552698
2021-04-07,Yukika,Insomnia,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=T6OEBtBXKqc,15352,161731
2021-04-07,LUNARSOLAR,DADADA,Youtube,Girl,Major,https://www.youtube.com/watch?v=imoWnuGIGU8,19626,1343832
2021-04-06,D-Crunch,My Name,Youtube,Boy,Major,https://www.youtube.com/watch?v=swJrOZ2S-XI,15624,167119
2021-04-05,Wendy,Like Water,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=-Ih5UArd4zk,1154792,18241032
2021-04-05,ASTRO,One,Youtube,Boy,Major,https://www.youtube.com/watch?v=XxlsLmHwCSk,964988,38487469
2021-04-04,Rose,Gone,Youtube,Girl Solo,Minor,https://www.youtube.com/watch?v=K9_VFxzCuQ0,6882964,226387368
2021-04-02,Hoshi,Spider,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=eOOsAeOx5a0,1140368,18472896
2021-04-01,BTS,Film Out,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=zFT3f9biz68,9453106,209212503
2021-04-01,3YE,Stalker,Youtube,Girl,Major,https://www.youtube.com/watch?v=8N0eXNqMtWc,112453,1634975
2021-03-31,WJSN,Unnatural,Youtube,Girl,Major,https://www.youtube.com/watch?v=wcgTStAuXQw,222463,15700608
2021-03-31,TREASURE,Beautiful,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=UKXeico0yeI,1059217,24569484
2021-03-31,T1419,EXIT,Youtube,Boy,Major,https://www.youtube.com/watch?v=coawNExrs9o,73743,20912781
2021-03-31,Park Bom,Do Re Mi Fa Sol feat. Changmo,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=S_SssgjLBrQ,28741,206472
2021-03-30,Baekhyun,Bambi,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=8M3WUaeIbOk,1809274,51444075
2021-03-30,DKB,All In,Youtube,Boy,Major,https://www.youtube.com/watch?v=vW25R0kyNdM,83206,13779367
2021-03-29,Kim Sejeong,Warning (Feat. lIlBOI),Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=bMO8svA2dVw,195345,12252986
2021-03-29,Kang Seungyoon,Iyah,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=-HVfBljdSWE,261278,12839288
2021-03-29,Kim Sunggyu,Hush,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=DvaqF6Kvjpc,56650,705275
2021-03-29,Checkmate,You,Youtube,Co-ed,Major,https://www.youtube.com/watch?v=OR5WbvJejZE,63873,555859
2021-03-26,IU,Coin,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=86BST8NIpNM,671039,19252333
2021-03-26,IZ*ONE,3!4!,Youtube,Girl,Minor,https://www.youtube.com/watch?v=phLh4Mnnn28,36979,3062905
2021-03-25,IU,Lilac,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=v7bnOxV4jAc,2331140,93771426
2021-03-24,Kangta,Freezing,Youtube,Boy Solo,Minor,https://www.youtube.com/watch?v=faZn4yGW2Hk,30983,298150
2021-03-23,Oneus,No Diggity (Japanese ver.),Youtube,Boy,Japanese,https://www.youtube.com/watch?v=IH4OdkcIIKk,11460,129103
2021-03-23,Sorn,Run,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=cAKSKi_KbcQ,444811,3795156
2021-03-19,B.I,Midnight Blue,Youtube,Boy Solo,Special,https://www.youtube.com/watch?v=8iAqqJiynt0,531316,5126275
2021-03-18,Seori,Lovers in the night,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=RLPWiQKqi-I,154182,5761939
