name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Upside Down,The Story,KANGDANIEL,2022-05-24,195893,51,0.682,0.178,0.574,0,0.199,-4.986,0.0349,136.088,4
ALIVE,Into The Light,LIGHTSUM,2022-05-24,186240,49,0.714,0.011,0.923,0.00169,0.316,-2.979,0.133,125.044,4
NANANA,GOT7,GOT7,2022-05-23,187466,67,0.706,0.0768,0.692,0,0.173,-4.433,0.0277,137.006,4
Do you wanna get down,Do you wanna get down,LUNARSOLAR,2022-05-23,200470,27,0.786,0.0751,0.827,0,0.294,-3.71,0.0359,127.966,4
The Greatest,The Greatest,BoA,2022-05-30,202480,37,0.562,0.0898,0.939,0,0.209,-2.028,0.231,110.119,4
Wish You Were Here,Wish You Were Here,LUMINOUS,2022-05-21,173453,28,0.675,0.0222,0.759,0,0.202,-3.499,0.0882,82.443,4
Roommate,TIMELESS,ONEWE,2022-05-20,224106,35,0.542,0.334,0.537,0,0.353,-6.317,0.0361,135.98,4
SHE'S THE BOSS,SHE'S THE BOSS,THE BOYZ,2022-05-14,227009,50,0.692,0.0945,0.866,0,0.338,-3.531,0.078,149.92,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SAVIOR,A to B,AB6IX,2022-05-18,181103,36,0.846,0.16,0.666,0,0.0815,-3.865,0.119,94.989,4
ARIA,ARIA,Yerin,2022-05-18,147853,45,0.829,0.134,0.839,1.87e-06,0.232,-2.665,0.067,115.084,4
suit dance (Japanese ver.),suit dance (Japanese ver.),OnlyOneOf,2022-05-18,192013,22,0.724,0.0348,0.672,0,0.0566,-6.705,0.1,99.986,4
ROCKY - Boxers Ver.,BEYOND : ZERO,ATEEZ,2022-05-25,189546,47,0.618,0.0526,0.937,0,0.357,-2.819,0.0537,95.048,4
MOVE,WAY UP,TNX,2022-05-17,212403,57,0.689,0.0334,0.836,0,0.313,-3.706,0.219,171.993,4
Bring it on,TRICKSTER,ONEUS,2022-05-17,204493,50,0.688,0.0669,0.921,0,0.241,-2.132,0.158,150.133,4
Fanfare,Season Note,DAVICHI,2022-05-16,209306,41,0.563,0.342,0.803,0,0.381,-2.144,0.0451,97.977,4
Candy Sugar Pop,Drive to the Starry Road,ASTRO,2022-05-16,169253,59,0.802,0.182,0.927,0,0.364,-2.131,0.123,115.042,4
DEEP,DEEP - The 1st Mini Album,HYO,2022-05-16,179120,61,0.784,0.0632,0.908,2.75e-06,0.157,-1.923,0.0936,126.98,4
